 ,L-SHADE-EpSin,UMOEAsII,MPEDE,ETI-JADE,HS-ES,AMECoDEs,EDEV,MLCC-SI,NDE,HS-ES-DE
F1,9.125E-05,1.788E-03,8.062E+04,1.472E+04,2.258E-09,2.644E+04,2.148E+04,2.944E+05,1.066E+05,1.594E-12
 ,(2.613E-04)$-$,(1.051E-03)$-$,(5.965E+04)$-$,(1.267E+04)$-$,(3.469E-09)$-$,(1.710E+04)$-$,(1.879E+04)$-$,(1.000E+05)$-$,(4.911E+04)$-$,(1.266E-12)
F2,3.316E-14,2.624E-13,5.305E-14,9.853E-14,1.873E-09,3.221E-14,1.326E-14,2.271E-04,3.840E-03,4.453E-14
 ,(1.077E-14)$\approx$,(1.936E-13)$-$,(1.624E-14)$\approx$,(3.048E-13)$\approx$,(2.328E-09)$-$,(9.827E-15)$\approx$,(1.937E-14)$+$,(1.899E-04)$-$,(7.727E-03)$-$,(1.615E-14)
F3,5.684E-14,1.137E-13,8.633E-05,2.619E+02,1.200E-09,1.042E-13,6.126E-03,6.037E-01,5.497E-05,5.684E-14
 ,(0.000E+00)$+$,(3.657E-14)$-$,(1.377E-04)$-$,(2.025E+02)$-$,(1.750E-09)$-$,(5.987E-14)$\approx$,(3.017E-02)$-$,(3.306E+00)$-$,(7.699E-05)$-$,(0.000E+00)
F4,5.313E+01,3.926E+01,9.037E+00,1.981E+01,3.254E+00,4.649E+01,4.929E-01,6.301E+01,5.525E+01,1.762E-13
 ,(4.893E+01)$-$,(4.891E+01)$-$,(3.080E+00)$-$,(3.983E+01)$-$,(1.783E+01)$-$,(4.742E+01)$-$,(1.790E+00)$-$,(3.114E+01)$-$,(4.171E+01)$-$,(1.016E-13)
F5,2.025E+01,2.000E+01,2.051E+01,2.000E+01,2.000E+01,2.001E+01,2.057E+01,2.032E+01,2.029E+01,2.000E+01
 ,(5.854E-02)$-$,(2.202E-04)$+$,(4.198E-02)$-$,(1.549E-03)$-$,(1.164E-04)$\approx$,(1.094E-02)$-$,(1.041E-01)$-$,(7.044E-02)$-$,(1.208E-01)$-$,(1.292E-04)
F6,6.942E-02,1.606E-01,1.162E+01,1.988E+00,4.070E-05,1.591E+00,3.266E+00,1.039E-01,9.799E+00,2.599E-01
 ,(1.795E-01)$+$,(3.198E-01)$+$,(3.806E+00)$-$,(1.595E+00)$-$,(8.368E-05)$+$,(1.046E+00)$-$,(2.084E+00)$-$,(2.075E-01)$+$,(4.097E+00)$-$,(5.616E-01)
F7,1.023E-13,1.137E-13,1.808E-03,2.136E-03,9.665E-10,8.216E-04,2.547E-03,1.137E-13,1.068E-03,0.000E+00
 ,(3.469E-14)$-$,(0.000E+00)$-$,(3.715E-03)$-$,(4.028E-03)$-$,(2.188E-09)$-$,(2.535E-03)$-$,(4.597E-03)$-$,(0.000E+00)$-$,(2.798E-03)$-$,(0.000E+00)
F8,5.122E-10,2.107E-12,1.137E-13,7.579E-15,1.526E+00,9.474E-14,0.000E+00,2.361E-09,8.822E+00,1.254E+01
 ,(1.021E-09)$+$,(1.114E-12)$+$,(0.000E+00)$+$,(2.884E-14)$+$,(1.273E+00)$+$,(4.309E-14)$+$,(0.000E+00)$+$,(3.422E-09)$+$,(5.191E+00)$+$,(4.036E+00)
F9,2.709E+01,4.146E+00,5.323E+01,4.643E+01,8.291E-01,5.550E+01,6.201E+01,4.833E+01,5.850E+01,1.932E+01
 ,(7.139E+00)$-$,(1.457E+00)$+$,(1.041E+01)$-$,(8.765E+00)$-$,(7.429E-01)$+$,(1.516E+01)$-$,(1.154E+01)$-$,(8.437E+00)$-$,(3.194E+01)$-$,(4.587E+00)
F10,5.186E-02,5.356E-01,3.074E+01,8.286E-02,2.038E+02,1.391E+01,7.840E-02,7.965E+00,1.213E+01,4.045E+02
 ,(2.122E-02)$+$,(5.694E-01)$+$,(1.422E+01)$+$,(3.586E-02)$+$,(1.591E+02)$\approx$,(1.941E+00)$+$,(9.343E-02)$+$,(2.945E+00)$+$,(6.579E+01)$+$,(3.440E+02)
F11,3.061E+03,3.503E+03,6.325E+03,2.705E+03,5.548E+02,3.733E+03,5.706E+03,3.978E+03,4.945E+03,1.399E+03
 ,(3.020E+02)$-$,(5.835E+02)$-$,(6.945E+02)$-$,(6.353E+02)$-$,(2.348E+02)$+$,(9.909E+02)$-$,(1.665E+03)$-$,(5.715E+02)$-$,(8.093E+02)$-$,(5.386E+02)
F12,2.126E-01,1.229E-01,6.446E-01,6.838E-02,2.477E-02,5.562E-02,8.023E-01,3.302E-01,1.461E-01,1.546E-02
 ,(2.664E-02)$-$,(7.328E-02)$-$,(1.064E-01)$-$,(2.844E-02)$-$,(2.376E-02)$\approx$,(1.548E-02)$-$,(3.463E-01)$-$,(6.663E-02)$-$,(1.097E-01)$-$,(1.250E-02)
F13,2.088E-01,1.499E-01,2.900E-01,2.211E-01,7.023E-02,1.981E-01,3.057E-01,2.834E-01,1.602E-01,1.359E-01
 ,(1.641E-02)$-$,(3.260E-02)$\approx$,(3.993E-02)$-$,(3.726E-02)$-$,(1.186E-02)$+$,(2.919E-02)$-$,(4.528E-02)$-$,(3.485E-02)$-$,(4.191E-02)$-$,(2.565E-02)
F14,1.942E-01,2.908E-01,2.960E-01,1.986E-01,3.988E-01,3.031E-01,2.512E-01,2.697E-01,2.831E-01,2.606E-01
 ,(2.056E-02)$+$,(2.743E-02)$-$,(3.476E-02)$-$,(3.156E-02)$+$,(4.127E-02)$-$,(3.263E-02)$-$,(2.944E-02)$\approx$,(2.215E-02)$\approx$,(4.224E-02)$-$,(3.116E-02)
F15,5.437E+00,5.274E+00,6.491E+00,5.004E+00,4.736E+00,5.922E+00,9.165E+00,6.614E+00,5.487E+00,4.611E+00
