 ,IMODE,AGSK,j2020,HS-ES-DE
F1,1.503E-04,0.000E+00,0.000E+00,0.000E+00
 ,(1.870E-05)$-$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F2,2.504E+02,3.687E+02,1.350E+02,2.150E+01
 ,(1.138E+02)$-$,(6.486E+01)$-$,(9.986E+01)$-$,(5.200E+01)
F3,3.295E+01,3.179E+01,2.700E+01,2.140E+01
 ,(3.820E+00)$-$,(1.627E+00)$-$,(2.647E+01)$-$,(6.664E-01)
F4,7.171E-02,1.933E+00,1.408E+00,0.000E+00
 ,(5.441E-02)$-$,(1.985E-01)$-$,(1.464E+00)$-$,(0.000E+00)
F5,9.493E+02,3.503E+02,6.239E+02,2.984E+02
 ,(3.531E+02)$-$,(1.265E+02)$\approx$,(2.793E+02)$-$,(1.565E+02)
F6,2.505E+00,2.117E+00,1.142E+00,5.317E+00
 ,(5.023E-01)$+$,(2.597E-01)$+$,(1.204E+00)$+$,(2.175E+01)
F7,5.886E+02,7.295E+01,1.406E+02,1.898E+02
 ,(2.119E+02)$-$,(5.262E+01)$\approx$,(1.435E+02)$-$,(2.143E+02)
F8,1.004E+02,1.000E+02,1.000E+02,1.000E+02
 ,(6.515E-01)$-$,(3.700E-13)$\approx$,(1.000E+02)$\approx$,(0.000E+00)
F9,1.067E+02,4.047E+02,4.225E+02,3.940E+02
 ,(2.568E+01)$+$,(5.759E+01)$-$,(4.338E+02)$+$,(5.021E+00)
F10,4.196E+02,4.137E+02,4.138E+02,4.125E+02
 ,(1.674E+01)$-$,(8.436E-03)$-$,(4.137E+02)$-$,(1.361E+00)
$-$,8,5,6, 
$+$,2,1,2, 
$\approx$,0,4,2, 
